TEAM,RANK,RANKORD,WIN,LOST
BKN,5,5th,44,38
BOS,12,12th,25,57
CHA,7,7th,43,39
CHI,3,3rd,48,34
CLE,10,10th,33,49
DAL,8,8th,49,33
DEN,11,11th,36,46
DET,11,11th,29,53
GS,6,6th,51,31
HOU,4,4th,54,28
IND,1,1st,56,26
LAC,3,3rd,57,25
LAL,14,14th,27,55
MEM,7,7th,50,32
MIA,2,2nd,54,28
MIL,15,15th,15,67
MIN,10,10th,40,42
NO,12,12th,34,48
NY,9,9th,37,45
OKC,2,2nd,59,23
ORL,13,13th,23,59
PHI,14,14th,19,63
PHO,9,9th,48,34
POR,4,4th,54,28
SA,1,1st,62,20
SAC,13,13th,28,54
TOR,3,3rd,48,34
UTA,15,15th,25,57
WAS,5,5th,44,38
